,stock,len
7871,DTUS,0
7847,HFXJ,0
7846,HFXE,0
7845,GASX,0
7844,SVA,0
7843,EYEGW,0
7767,PQIN,0
7762,STPP,0
7620,TAO,0
7469,SAEX,0
7149,RUSS,0
7092,RORE,0
6918,SDAG,0
6780,SEA,0
6767,TRPX,0
6458,ROSEU,0
5597,MIDZ,0
5055,TGEN,0
7848,DTUL,0
7849,DTYL,0
7870,CROP,0
7851,OILU,0
7866,KBLMU,0
7867,GASL,0
7863,QGTA,0
7862,FJNK,0
7868,AGFSW,0
7861,HAO,0
7869,DPK,0
7860,CTV,0
7859,EVIX,0
7858,LVUS,0
7850,LOACU,0
7865,TZACU,0
7864,OTTW,0
7857,ISG,0
7856,SSWA,0
7855,FLAT,0
7854,LTSL,0
7853,EEB,0
7852,LTSF,0
7841,CBX,1
7842,TAPR,1
7840,CBO,3
7839,USI,19
7838,NTEST,26
7837,VAMO,34
7836,SIM,53
7835,TDAC,59
7834,UJUN,60
7833,VLU,72
7832,USAI,82
7831,UGE,98
7829,UCC,99
7830,UBOH,99
7828,SKOR,133
7826,SDP,162
7827,UAPR,162
7825,SPXB,170
7824,VFMO,175
7821,USTB,247
7820,SYLD,267
7819,SVBI,282
7818,THBRW,302
7817,UNB,309
7816,UTRN,320
7815,TWNKW,341
7811,TKAT,386
4897,VEGN,443
4896,MBCN,449
4895,VSMV,471
4894,TILT,485
4893,SBFG,513
4892,USMF,528
4891,WTM,553
4890,TSCAP,575
4889,SRTS,595
4888,WINA,705
4887,SOHOB,719
4886,TBNK,737
4885,UZB,751
4884,SMB,771
4883,SRL,790
4882,TOLZ,819
4881,DLA,929
4880,SMLV,935
4879,VOC,940
4878,SOJC,958
4877,VPV,1044
4876,SMMT,1046
4875,VXZ,1108
4874,TCCO,1130
4873,SPGP,1137
4872,CYCCP,1188
4871,WEI,1203
4870,SNMP,1233
4869,CPAC,1264
4868,STPZ,1301
4867,WHLM,1334
4866,TREC,1463
4865,PZC,1465
4864,WBAI,1509
4863,USDP,1510
4862,VIOO,1569
4861,VKI,1652
4860,MBINP,1794
4859,CRSAU,1987
4858,WAFU,2027
4857,TELA,2039
4856,VGM,2197
4855,SRCE,2284
4854,SYX,2342
4853,SPXX,2412
4852,DIVO,2460
4851,BSVN,2555
4850,MLAB,2565
4849,LMNR,2578
4848,TOUR,2721
4847,SLVO,2759
4846,MKD,2805
4845,SNSR,2852
4844,TNC,2872
4843,UFCS,2936
4842,VOOV,2942
4841,SPRT,3096
4840,MUDSU,3117
4839,TANH,3322
4838,VIACA,3378
4837,RWLK,3386
4836,LMRK,3400
4835,DWAS,3516
4833,GLL,3568
4834,VRTV,3568
4832,SPNE,3580
4831,FLLCR,3610
4830,AVAL,3661
4829,SNDE,3730
4828,WRN,3780
4827,LKFN,3875
4826,THD,3882
4825,TRX,3936
4824,SPKE,3969
4823,HAIL,4147
4822,VTVT,4271
4821,CHPMU,4297
4820,SWAN,4382
4819,TPVG,4636
4818,NEBUW,4663
4817,URGN,4717
4816,UVV,4737
4815,VDC,4805
4814,STN,4921
4813,THRM,5044
4812,HHR,5070
4811,TUR,5092
4810,STIM,5192
4809,SUPV,5198
4808,WNS,5375
4807,VMI,5379
4806,ROCK,5600
4805,SP,5602
4804,MBOT,5607
4803,VNLA,5689
4802,WVVIP,5848
4801,DNJR,5850
4800,SIGA,5881
4799,TFSL,6008
4798,UTG,6083
4797,MKGI,6115
4796,WPP,6140
4795,WRLSU,6234
4794,WBK,6273
4793,DPG,6324
4792,TECH,6397
4791,AVEM,6537
4790,TBBK,6680
4789,TM,6695
4788,TEUM,6725
4787,TLK,6886
4786,VRNS,6993
6267,TOTAU,7013
4785,AVCO,7039
4784,VBK,7054
4783,SITE,7089
4782,WSR,7312
4781,COHN,7333
4780,DUSA,7426
4779,AFLG,7427
4778,SY,7528
4777,TACO,7782
4776,ALACU,7794
4775,XP,7800
4774,AWRE,7842
4773,UMBF,7922
4772,APXTW,7987
4771,UIS,8052
4770,SONGW,8180
4769,VTIQU,8188
4768,SONM,8192
4767,SUI,8378
4766,WLTW,8388
4765,CARV,8434
4764,HHHHR,8575
4763,AIRTP,8627
4762,MITK,8701
4761,SLCA,8725
4760,VET,8897
4759,RCUS,8913
4758,SMTC,8941
4757,SPTM,8952
4756,FLLCW,8964
4755,SQM,9000
4754,APXTU,9008
4753,LPSN,9040
4752,AX,9056
4751,TPIC,9065
4750,BNTCW,9146
4748,WIX,9179
4747,SNOAW,9357
4746,VVPR,9397
4745,AMRC,9424
4744,CARA,9434
4743,VTGN,9453
4742,VCIT,9494
4741,TW,9553
4740,SJI,9689
4739,GPAQU,9743
4738,FPAYW,9748
4737,RH,9774
4736,STAG,9900
4735,VISL,10100
4734,TXRH,10115
4733,TIBRU,10128
4732,MBII,10249
4731,SLM,10304
4730,TRMB,10368
4729,SPDW,10380
4728,HHHHU,10519
4727,AFSM,10533
4726,CPRI,10889
4725,MPVD,10920
4724,SSL,10962
4723,STT,10970
4722,TRU,10988
4721,UNM,11018
4720,CLNY,11047
4719,TGI,11047
4718,CWBR,11085
4717,TTC,11090
4716,GRSHU,11094
4715,SMH,11206
4714,TMO,11251
4713,AMHCU,11327
4712,AXGN,11333
4711,SSRM,11367
4710,GPAQ,11693
4709,ANDAU,11724
4708,CMC,11735
4707,UPS,11856
4706,NUROW,11878
4705,TCON,12019
4704,WTS,12081
4703,SWN,12083
4702,AVTR,12253
4701,TROW,12401
4700,AXP,12413
4699,EDTXU,12464
4698,TTNP,12482
4697,WDC,12528
4696,CXP,12773
4695,CUZ,12971
4694,TDOC,13043
4693,SHIP,13129
4692,FLLCU,13261
4691,IMVTU,13643
4689,AIH,13876
4688,PSTVZ,13961
4687,IMVTW,14038
4686,AXGT,14131
4685,UDOW,14140
4684,AMCIU,14286
4683,AVRO,14657
4682,ZIONP,14785
4681,TSM,14791
4680,ACSG,15230
6955,SID,15581
4678,AFMC,15965
4677,XBIOW,15983
4676,ABT,16110
4675,SRTSW,16367
4674,OSLE,16380
4673,AVB,16400
4672,NEBUU,16949
4671,TKKSR,16966
4670,WFC,16972
4669,EGPT,17236
4668,MINT,17292
4667,AWX,17958
4666,SONG,18123
4665,AFGC,18275
4663,TACOW,18482
4662,PAACU,18659
4661,OBE,18705
4660,BRPAU,19090
4659,AXS,19289
4658,EDTX,19459
4657,ROSEW,19492
4656,DLS,19584
4655,BNDX,19620
4654,MOSC,19708
4653,MSBF,19877
4652,AVNW,20024
4651,AVGR,20101
4650,ANDA,20231
4649,FSBC,20424
4648,PAAC,20445
4647,OPGNW,20454
4646,ARTLW,20503
4645,CVTI,20661
4644,ANDAR,20971
4643,ALACR,20998
4642,SDI,21007
4641,INTL,21059
4640,ZIONO,21360
4639,DEACU,21542
4638,AVUS,21585
4637,ZIONN,21632
4636,SRCI,21870
4635,ZIONW,22910
4634,AVID,23301
4633,DNR,23388
4632,AXL,23445
4631,LM,23781
4630,AVYA,24035
4629,ALACW,24068
4628,ZIONL,24119
4627,AXTA,24151
4626,SWP,24178
4625,BOLD,24390
4624,AVLR,24554
4623,AVNS,24581
4622,ANDAW,24588
4621,APOPW,24655
4620,AVUV,24703
4619,SAB,24960
4618,SSW,24963
4617,AESR,25371
4616,PKD,25560
4615,XBIT,25739
4614,LTS,25930
4613,AWK,26375
4612,AFT,26419
4611,CYOU,26508
4610,CSFL,26910
4609,AVY,27184
4608,AVAV,27423
4607,APXT,27443
4606,AXLA,27554
4605,PBBI,27653
4604,ALAC,27667
4603,AVGO,27722
4602,ASHX,27874
4601,AAT,28048
4600,IBKCO,28062
4599,DO,28287
4598,AMCI,28631
4596,WWD,28847
4595,AIRTW,28866
4594,XCUR,28875
4593,AWR,28929
6359,SRACW,29037
4592,AE,29158
4591,YUMA,29253
4590,ADME,29524
4589,CTST,29531
4588,ZIOP,29587
4586,AMCIW,29669
4585,ABR,29808
4584,KEM,29841
4583,AWF,30129
4582,JMEI,30230
4581,QES,30404
4580,RTN,30410
4579,VAL,30422
4578,CY,30476
4577,AMRHW,30530
4576,WVE,30772
4575,JBR,30797
4574,OMN,31014
4573,APEI,31191
4572,NTGN,31203
7795,PPHI,31374
4571,MLNX,31480
4570,HHS,31553
